,STATE.UT,DISTRICT,Year,Rape,Kidnapping.and.Abduction,Dowry.Deaths,Assault.on.women.with.intent.to.outrage.her.modesty,Insult.to.modesty.of.Women,Cruelty.by.Husband.or.his.Relatives,Importation.of.Girls,Total.Crimes.against.Women
8594,A & N ISLANDS,ANDAMAN,2011,13,12,0,14,3,5,0,47
8595,A & N ISLANDS,NICOBAR,2011,0,0,0,1,0,0,0,1
7864,ANDHRA PRADESH,ADILABAD,2011,84,70,20,112,142,429,0,857
7865,ANDHRA PRADESH,ANANTAPUR,2011,16,83,36,156,16,198,0,505
7866,ANDHRA PRADESH,CHITTOOR,2011,17,47,25,124,168,421,0,802
7867,ANDHRA PRADESH,CUDDAPAH,2011,41,65,15,144,17,122,0,404
7868,ANDHRA PRADESH,CYBERABAD,2011,89,90,51,158,234,1411,0,2033
7869,ANDHRA PRADESH,EAST GODAVARI,2011,72,51,17,176,224,575,0,1115
7870,ANDHRA PRADESH,GUNTAKAL RLY.,2011,0,0,0,0,3,1,0,4
7871,ANDHRA PRADESH,GUNTUR,2011,40,57,8,223,140,494,0,962
7872,ANDHRA PRADESH,GUNTUR URBAN,2011,33,28,6,86,111,395,0,659
7873,ANDHRA PRADESH,HYDERABAD CITY,2011,59,39,37,157,93,1355,0,1740
7874,ANDHRA PRADESH,KARIMNAGAR,2011,58,120,40,253,235,702,0,1408
7875,ANDHRA PRADESH,KHAMMAM,2011,84,73,20,243,140,519,0,1079
7876,ANDHRA PRADESH,KRISHNA,2011,80,75,15,348,292,733,0,1543
7877,ANDHRA PRADESH,KURNOOL,2011,39,58,20,340,222,424,0,1103
7878,ANDHRA PRADESH,MAHABOOBNAGAR,2011,88,69,28,162,66,259,0,672
7879,ANDHRA PRADESH,MEDAK,2011,38,33,26,121,50,384,0,652
7880,ANDHRA PRADESH,NALGONDA,2011,48,51,36,229,150,255,0,769
7881,ANDHRA PRADESH,NELLORE,2011,28,81,7,166,119,187,0,588
7882,ANDHRA PRADESH,NIZAMABAD,2011,63,51,27,98,100,569,0,908
7883,ANDHRA PRADESH,PRAKASHAM,2011,24,81,11,243,56,266,0,681
